""AgeGroup""	""Age Group Code""	""Causeofdeath""	""Cause of death Code""	""Year""	""Year Code""	""Race""	""Race Code""	""Gender""	""Gender Code""	Deaths	Population	Crude Rate	Crude Rate Lower 95% Confidence Interval	Crude Rate Upper 95% Confidence Interval	Crude Rate Standard Error	% of Total Deaths"
"""10-14 years""	""10-14""	""Bacterial enteritis, unspecified""	""008.3""	""1974""	""1974""	""White""	""2106-3""	""Male""	""M""	1	228465	0.4 (Unreliable)	0.0	2.4	0.4	0.0%"
"""10-14 years""	""10-14""	""Diarrhea""	""009.1""	""1970""	""1970""	""White""	""2106-3""	""Male""	""M""	1	232347	0.4 (Unreliable)	0.0	2.4	0.4	0.0%"
"""10-14 years""	""10-14""	""Tuberculous meningitis""	""013.0""	""1974""	""1974""	""Black or African American""	""2054-5""	""Male""	""M""	1	9977	10.0 (Unreliable)	0.3	55.8	10.0	0.0%"
"""10-14 years""	""10-14""	""Meningococcal meningitis""	""036.0""	""1970""	""1970""	""White""	""2106-3""	""Female""	""F""	1	221530	0.5 (Unreliable)	0.0	2.5	0.5	0.0%"
"""10-14 years""	""10-14""	""Meningococcal meningitis""	""036.0""	""1974""	""1974""	""White""	""2106-3""	""Male""	""M""	1	228465	0.4 (Unreliable)	0.0	2.4	0.4	0.0%"
"""10-14 years""	""10-14""	""Meningococcemia without mention of meningitis""	""036.1""	""1974""	""1974""	""White""	""2106-3""	""Male""	""M""	1	228465	0.4 (Unreliable)	0.0	2.4	0.4	0.0%"
"""10-14 years""	""10-14""	""Meningococcemia without mention of meningitis""	""036.1""	""1975""	""1975""	""White""	""2106-3""	""Male""	""M""	1	225172	0.4 (Unreliable)	0.0	2.5	0.4	0.0%"
"""10-14 years""	""10-14""	""Streptococcal""	""038.0""	""1975""	""1975""	""White""	""2106-3""	""Male""	""M""	1	225172	0.4 (Unreliable)	0.0	2.5	0.4	0.0%"
"""10-14 years""	""10-14""	""Unspecified""	""038.9""	""1974""	""1974""	""White""	""2106-3""	""Male""	""M""	1	228465	0.4 (Unreliable)	0.0	2.4	0.4	0.0%"
"""10-14 years""	""10-14""	""Chickenpox""	""052""	""1971""	""1971""	""White""	""2106-3""	""Female""	""F""	1	223023	0.4 (Unreliable)	0.0	2.5	0.4	0.0%"
"""10-14 years""	""10-14""	""Chickenpox""	""052""	""1975""	""1975""	""White""	""2106-3""	""Male""	""M""	1	225172	0.4 (Unreliable)	0.0	2.5	0.4	0.0%"
"""10-14 years""	""10-14""	""Herpes simplex""	""054""	""1973""	""1973""	""White""	""2106-3""	""Male""	""M""	1	230728	0.4 (Unreliable)	0.0	2.4	0.4	0.0%"
"""10-14 years""	""10-14""	""Measles""	""055""	""1974""	""1974""	""White""	""2106-3""	""Male""	""M""	1	228465	0.4 (Unreliable)	0.0	2.4	0.4	0.0%"
"""10-14 years""	""10-14""	""Viral encephalitis, unspecified""	""065""	""1970""	""1970""	""White""	""2106-3""	""Female""	""F""	1	221530	0.5 (Unreliable)	0.0	2.5	0.5	0.0%"
"""10-14 years""	""10-14""	""Viral encephalitis, unspecified""	""065""	""1971""	""1971""	""White""	""2106-3""	""Male""	""M""	1	233688	0.4 (Unreliable)	0.0	2.4	0.4	0.0%"
"""10-14 years""	""10-14""	""Viral encephalitis, unspecified""	""065""	""1972""	""1972""	""White""	""2106-3""	""Male""	""M""	2	232789	0.9 (Unreliable)	0.1	3.1	0.6	0.0%"
"""10-14 years""	""10-14""	""Viral encephalitis, unspecified""	""065""	""1973""	""1973""	""White""	""2106-3""	""Female""	""F""	1	220515	0.5 (Unreliable)	0.0	2.5	0.5	0.0%"
"""10-14 years""	""10-14""	""Viral encephalitis, unspecified""	""065""	""1975""	""1975""	""Black or African American""	""2054-5""	""Male""	""M""	1	10087	9.9 (Unreliable)	0.3	55.2	9.9	0.0%"
"""10-14 years""	""10-14""	""Late effects of viral encephalitis""	""066""	""1971""	""1971""	""White""	""2106-3""	""Male""	""M""	1	233688	0.4 (Unreliable)	0.0	2.4	0.4	0.0%"
"""10-14 years""	""10-14""	""Infectious hepatitis""	""070""	""1970""	""1970""	""White""	""2106-3""	""Female""	""F""	1	221530	0.5 (Unreliable)	0.0	2.5	0.5	0.0%"
"""10-14 years""	""10-14""	""Infectious hepatitis""	""070""	""1970""	""1970""	""White""	""2106-3""	""Male""	""M""	1	232347	0.4 (Unreliable)	0.0	2.4	0.4	0.0%"
"""10-14 years""	""10-14""	""Infectious mononucleosis""	""075""	""1975""	""1975""	""White""	""2106-3""	""Male""	""M""	1	225172	0.4 (Unreliable)	0.0	2.5	0.4	0.0%"
"""10-14 years""	""10-14""	""Viral infection, unspecified""	""079.9""	""1971""	""1971""	""White""	""2106-3""	""Male""	""M""	1	233688	0.4 (Unreliable)	0.0	2.4	0.4	0.0%"
"""10-14 years""	""10-14""	""Part unspecified""	""151.9""	""1974""	""1974""	""White""	""2106-3""	""Male""	""M""	1	228465	0.4 (Unreliable)	0.0	2.4	0.4	0.0%"
"""10-14 years""	""10-14""	""Ileum""	""152.2""	""1974""	""1974""	""White""	""2106-3""	""Male""	""M""	1	228465	0.4 (Unreliable)	0.0	2.4	0.4	0.0%"
"""10-14 years""	""10-14""	""Maxiliary sinus""	""160.2""	""1974""	""1974""	""White""	""2106-3""	""Female""	""F""	1	218261	0.5 (Unreliable)	0.0	2.6	0.5	0.0%"
"""10-14 years""	""10-14""	""Vertebral column (excluding sacrum and coccyx)""	""170.2""	""1973""	""1973""	""White""	""2106-3""	""Female""	""F""	1	220515	0.5 (Unreliable)	0.0	2.5	0.5	0.0%"
"""10-14 years""	""10-14""	""Long bones of upper limb and scapula""	""170.4""	""1970""	""1970""	""White""	""2106-3""	""Male""	""M""	1	232347	0.4 (Unreliable)	0.0	2.4	0.4	0.0%"
"""10-14 years""	""10-14""	""Long bones of upper limb and scapula""	""170.4""	""1973""	""1973""	""White""	""2106-3""	""Male""	""M""	1	230728	0.4 (Unreliable)	0.0	2.4	0.4	0.0%"
"""10-14 years""	""10-14""	""Long bones of upper limb and scapula""	""170.4""	""1974""	""1974""	""White""	""2106-3""	""Male""	""M""	1	228465	0.4 (Unreliable)	0.0	2.4	0.4	0.0%"
"""10-14 years""	""10-14""	""Pelvic bones, sacrum, coccyx""	""170.6""	""1970""	""1970""	""White""	""2106-3""	""Male""	""M""	1	232347	0.4 (Unreliable)	0.0	2.4	0.4	0.0%"
"""10-14 years""	""10-14""	""Pelvic bones, sacrum, coccyx""	""170.6""	""1972""	""1972""	""White""	""2106-3""	""Male""	""M""	2	232789	0.9 (Unreliable)	0.1	3.1	0.6	0.0%"
"""10-14 years""	""10-14""	""Lower limb, long bones""	""170.7""	""1970""	""1970""	""White""	""2106-3""	""Female""	""F""	1	221530	0.5 (Unreliable)	0.0	2.5	0.5	0.0%"
"""10-14 years""	""10-14""	""Lower limb, long bones""	""170.7""	""1970""	""1970""	""White""	""2106-3""	""Male""	""M""	1	232347	0.4 (Unreliable)	0.0	2.4	0.4	0.0%"
"""10-14 years""	""10-14""	""Lower limb, short bones""	""170.8""	""1970""	""1970""	""White""	""2106-3""	""Female""	""F""	1	221530	0.5 (Unreliable)	0.0	2.5	0.5	0.0%"
"""10-14 years""	""10-14""	""Site unspecified""	""170.9""	""1971""	""1971""	""White""	""2106-3""	""Male""	""M""	1	233688	0.4 (Unreliable)	0.0	2.4	0.4	0.0%"
"""10-14 years""	""10-14""	""Site unspecified""	""170.9""	""1972""	""1972""	""White""	""2106-3""	""Male""	""M""	2	232789	0.9 (Unreliable)	0.1	3.1	0.6	0.0%"
"""10-14 years""	""10-14""	""Site unspecified""	""170.9""	""1973""	""1973""	""White""	""2106-3""	""Male""	""M""	1	230728	0.4 (Unreliable)	0.0	2.4	0.4	0.0%"
"""10-14 years""	""10-14""	""Site unspecified""	""170.9""	""1975""	""1975""	""White""	""2106-3""	""Female""	""F""	1	215367	0.5 (Unreliable)	0.0	2.6	0.5	0.0%"
"""10-14 years""	""10-14""	""Site unspecified""	""170.9""	""1975""	""1975""	""White""	""2106-3""	""Male""	""M""	1	225172	0.4 (Unreliable)	0.0	2.5	0.4	0.0%"
"""10-14 years""	""10-14""	""Head, face, and neck""	""171.0""	""1973""	""1973""	""White""	""2106-3""	""Male""	""M""	1	230728	0.4 (Unreliable)	0.0	2.4	0.4	0.0%"
"""10-14 years""	""10-14""	""Malignant neoplasm of breast""	""174""	""1974""	""1974""	""White""	""2106-3""	""Male""	""M""	1	228465	0.4 (Unreliable)	0.0	2.4	0.4	0.0%"
"""10-14 years""	""10-14""	""Ovary""	""183.0""	""1970""	""1970""	""Black or African American""	""2054-5""	""Female""	""F""	1	8667	11.5 (Unreliable)	0.3	64.3	11.5	0.0%"
"""10-14 years""	""10-14""	""Ovary""	""183.0""	""1970""	""1970""	""White""	""2106-3""	""Female""	""F""	1	221530	0.5 (Unreliable)	0.0	2.5	0.5	0.0%"
"""10-14 years""	""10-14""	""Ovary""	""183.0""	""1971""	""1971""	""White""	""2106-3""	""Female""	""F""	3	223023	1.3 (Unreliable)	0.3	3.9	0.8	0.0%"
"""10-14 years""	""10-14""	""Site unspecified""	""184.9""	""1973""	""1973""	""White""	""2106-3""	""Female""	""F""	1	220515	0.5 (Unreliable)	0.0	2.5	0.5	0.0%"
"""10-14 years""	""10-14""	""Malignant neoplasm of brain""	""191""	""1970""	""1970""	""White""	""2106-3""	""Male""	""M""	2	232347	0.9 (Unreliable)	0.1	3.1	0.6	0.0%"
"""10-14 years""	""10-14""	""Malignant neoplasm of brain""	""191""	""1971""	""1971""	""White""	""2106-3""	""Female""	""F""	3	223023	1.3 (Unreliable)	0.3	3.9	0.8	0.0%"
"""10-14 years""	""10-14""	""Malignant neoplasm of brain""	""191""	""1971""	""1971""	""White""	""2106-3""	""Male""	""M""	3	233688	1.3 (Unreliable)	0.3	3.8	0.7	0.0%"
"""10-14 years""	""10-14""	""Malignant neoplasm of brain""	""191""	""1972""	""1972""	""White""	""2106-3""	""Female""	""F""	2	222373	0.9 (Unreliable)	0.1	3.2	0.6	0.0%"
"""10-14 years""	""10-14""	""Malignant neoplasm of brain""	""191""	""1973""	""1973""	""White""	""2106-3""	""Female""	""F""	2	220515	0.9 (Unreliable)	0.1	3.3	0.6	0.0%"
"""10-14 years""	""10-14""	""Malignant neoplasm of brain""	""191""	""1973""	""1973""	""White""	""2106-3""	""Male""	""M""	3	230728	1.3 (Unreliable)	0.3	3.8	0.8	0.0%"
"""10-14 years""	""10-14""	""Malignant neoplasm of brain""	""191""	""1974""	""1974""	""White""	""2106-3""	""Female""	""F""	1	218261	0.5 (Unreliable)	0.0	2.6	0.5	0.0%"
"""10-14 years""	""10-14""	""Malignant neoplasm of brain""	""191""	""1974""	""1974""	""White""	""2106-3""	""Male""	""M""	3	228465	1.3 (Unreliable)	0.3	3.8	0.8	0.0%"
"""10-14 years""	""10-14""	""Malignant neoplasm of brain""	""191""	""1975""	""1975""	""White""	""2106-3""	""Female""	""F""	1	215367	0.5 (Unreliable)	0.0	2.6	0.5	0.0%"
"""10-14 years""	""10-14""	""Malignant neoplasm of brain""	""191""	""1975""	""1975""	""White""	""2106-3""	""Male""	""M""	2	225172	0.9 (Unreliable)	0.1	3.2	0.6	0.0%"
"""10-14 years""	""10-14""	""Spinal cord""	""192.2""	""1973""	""1973""	""White""	""2106-3""	""Male""	""M""	1	230728	0.4 (Unreliable)	0.0	2.4	0.4	0.0%"
"""10-14 years""	""10-14""	""Sympathetic nervous system""	""192.5""	""1970""	""1970""	""White""	""2106-3""	""Female""	""F""	2	221530	0.9 (Unreliable)	0.1	3.3	0.6	0.0%"
"""10-14 years""	""10-14""	""Site unspecified""	""192.9""	""1971""	""1971""	""White""	""2106-3""	""Female""	""F""	2	223023	0.9 (Unreliable)	0.1	3.2	0.6	0.0%"
"""10-14 years""	""10-14""	""Site unspecified""	""192.9""	""1974""	""1974""	""White""	""2106-3""	""Female""	""F""	1	218261	0.5 (Unreliable)	0.0	2.6	0.5	0.0%"
"""10-14 years""	""10-14""	""Site unspecified""	""192.9""	""1974""	""1974""	""White""	""2106-3""	""Male""	""M""	2	228465	0.9 (Unreliable)	0.1	3.2	0.6	0.0%"
"""10-14 years""	""10-14""	""Pituitary gland and craniopharyngeal duct""	""194.3""	""1975""	""1975""	""White""	""2106-3""	""Male""	""M""	1	225172	0.4 (Unreliable)	0.0	2.5	0.4	0.0%"
"""10-14 years""	""10-14""	""Pineal gland""	""194.4""	""1970""	""1970""	""White""	""2106-3""	""Male""	""M""	1	232347	0.4 (Unreliable)	0.0	2.4	0.4	0.0%"
"""10-14 years""	""10-14""	""Other""	""195.9""	""1970""	""1970""	""White""	""2106-3""	""Male""	""M""	1	232347	0.4 (Unreliable)	0.0	2.4	0.4	0.0%"
"""10-14 years""	""10-14""	""Mediastinum, specified as secondary""	""197.1""	""1974""	""1974""	""White""	""2106-3""	""Male""	""M""	1	228465	0.4 (Unreliable)	0.0	2.4	0.4	0.0%"
"""10-14 years""	""10-14""	""Multiple""	""199.0""	""1971""	""1971""	""Other Race""	""2131-1""	""Female""	""F""	1	1809	55.3 (Unreliable)	1.4	308.0	55.3	0.0%"
"""10-14 years""	""10-14""	""Multiple""	""199.0""	""1972""	""1972""	""White""	""2106-3""	""Male""	""M""	2	232789	0.9 (Unreliable)	0.1	3.1	0.6	0.0%"
"""10-14 years""	""10-14""	""Reticulum-cell sarcoma""	""200.0""	""1974""	""1974""	""White""	""2106-3""	""Female""	""F""	1	218261	0.5 (Unreliable)	0.0	2.6	0.5	0.0%"
"""10-14 years""	""10-14""	""Hodgkin's disease""	""201""	""1971""	""1971""	""White""	""2106-3""	""Male""	""M""	2	233688	0.9 (Unreliable)	0.1	3.1	0.6	0.0%"
"""10-14 years""	""10-14""	""Hodgkin's disease""	""201""	""1973""	""1973""	""Black or African American""	""2054-5""	""Male""	""M""	1	9721	10.3 (Unreliable)	0.3	57.3	10.3	0.0%"
"""10-14 years""	""10-14""	""Hodgkin's disease""	""201""	""1973""	""1973""	""White""	""2106-3""	""Male""	""M""	1	230728	0.4 (Unreliable)	0.0	2.4	0.4	0.0%"
"""10-14 years""	""10-14""	""Other primary malignant neoplasms of lymphoid tissue""	""202.2""	""1970""	""1970""	""White""	""2106-3""	""Male""	""M""	2	232347	0.9 (Unreliable)	0.1	3.1	0.6	0.0%"
"""10-14 years""	""10-14""	""Other primary malignant neoplasms of lymphoid tissue""	""202.2""	""1971""	""1971""	""White""	""2106-3""	""Male""	""M""	3	233688	1.3 (Unreliable)	0.3	3.8	0.7	0.0%"
