Notes,County,County Code,Deaths,Population,Crude Rate,Deaths,Population,Crude Rate
,"Autauga County, AL",1001,107,12977,824.5,20,1421,1407.5
,"Baldwin County, AL",1003,306,34453,888.2,13,1048,1240.5 (Unreliable)
,"Barbour County, AL",1005,107,10670,1002.8,33,2469,1336.6
,"Bibb County, AL",1007,65,6640,978.9,32,5428,589.5
,"Blount County, AL",1009,132,16260,811.8,42,5023,836.2
,"Bullock County, AL",1011,83,4512,1839.5,74,10451,708.1
,"Butler County, AL",1013,141,9826,1435,107,12977,824.5
,"Calhoun County, AL",1015,538,46533,1156.2,25,2151,1162.3
,"Chambers County, AL",1017,199,17661,1126.8,18,1693,1063.2 (Unreliable)
,"Cherokee County, AL",1019,103,8534,1206.9,43,3844,1118.6
,"Chilton County, AL",1021,157,13513,1161.8,124,16072,771.5
,"Choctaw County, AL",1023,81,6994,1158.1,139,14346,968.9
,"Clarke County, AL",1025,148,11332,1306,263,30418,864.6
,"Clay County, AL",1027,80,6254,1279.2,306,34453,888.2
,"Cleburne County, AL",1029,59,5621,1049.6,24,2343,1024.3
,"Coffee County, AL",1031,161,16633,968,18,1584,1136.4 (Unreliable)
,"Colbert County, AL",1033,205,24031,853.1,42,3927,1069.5
,"Conecuh County, AL",1035,89,6968,1277.3,32,3712,862.1
,"Coosa County, AL",1037,72,5162,1394.8,33,3008,1097.1
,"Covington County, AL",1039,194,18201,1065.9,65,6720,967.3
,"Crenshaw County, AL",1041,91,6657,1367,107,10670,1002.8
,"Cullman County, AL",1043,292,27952,1044.6,7,695,1007.2 (Unreliable)
,"Dale County, AL",1045,130,16105,807.2,11,501,2195.6 (Unreliable)
,"Dallas County, AL",1047,225,21444,1049.2,18,1196,1505.0 (Unreliable)
,"DeKalb County, AL",1049,268,24130,1110.7,22,2914,755
,"Elmore County, AL",1051,214,18304,1169.1,25,2524,990.5
,"Escambia County, AL",1053,183,16174,1131.4,47,5438,864.3
,"Etowah County, AL",1055,528,46453,1136.6,65,6640,978.9
,"Fayette County, AL",1057,91,8620,1055.7,3,90,3333.3 (Unreliable)
,"Franklin County, AL",1059,147,13117,1120.7,3,209,1435.4 (Unreliable)
,"Geneva County, AL",1061,130,11203,1160.4,58,8399,690.6
,"Greene County, AL",1063,73,4489,1626.2,71,7621,931.6
,"Hale County, AL",1065,96,6516,1473.3,129,16020,805.2
,"Henry County, AL",1067,77,6795,1133.2,132,16260,811.8
,"Houston County, AL",1069,256,30813,830.8,27,1617,1669.8
,"Jackson County, AL",1071,178,21130,842.4,28,1109,2524.8
,"Jefferson County, AL",1073,2919,288230,1012.7,55,2726,2017.6
,"Lamar County, AL",1075,88,7580,1160.9,16,975,1641.0 (Unreliable)
,"Lauderdale County, AL",1077,269,34303,784.2,12,810,1481.5 (Unreliable)
,"Lawrence County, AL",1079,101,12289,821.9,28,1785,1568.6
,"Lee County, AL",1081,227,24362,931.8,83,4512,1839.5
,"Limestone County, AL",1083,194,19138,1013.7,25,1677,1490.8
,"Lowndes County, AL",1085,43,4719,911.2,20,1282,1560.1
,"Macon County, AL",1087,148,10392,1424.2,45,2959,1520.8
,"Madison County, AL",1089,518,78338,661.2,43,3855,1115.4
,"Marengo County, AL",1091,138,10516,1312.3,53,3005,1763.7
,"Marion County, AL",1093,117,13609,859.7,96,6860,1399.4
,"Marshall County, AL",1095,309,29464,1048.7,141,9826,1435
,"Mobile County, AL",1097,1316,141515,929.9,55,3734,1473
,"Monroe County, AL",1099,102,9255,1102.1,65,2792,2328.1
,"Montgomery County, AL",1101,728,77992,933.4,120,6526,1838.8
,"Morgan County, AL",1103,297,37961,782.4,191,21587,884.8
,"Perry County, AL",1105,88,6140,1433.2,227,18227,1245.4
,"Pickens County, AL",1107,105,9364,1121.3,418,39814,1049.9
